"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2013-01-01","2013","01","01","","-1.7","","-15.5","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","29","","37",""
"-78.88","43.92","OSHAWA","6155875","2013-01-02","2013","01","02","","-3.8","","-11.1","","-7.5","","25.5","","0.0","","","M","","M","","M","","","8","","33",""
"-78.88","43.92","OSHAWA","6155875","2013-01-03","2013","01","03","","-1.0","","-12.3","","-6.7","","24.7","","0.0","","","M","","M","0.3","","","","26","","41",""
"-78.88","43.92","OSHAWA","6155875","2013-01-04","2013","01","04","","-0.5","","-1.9","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","27","","56",""
"-78.88","43.92","OSHAWA","6155875","2013-01-05","2013","01","05","","2.0","","-1.5","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","21","","39",""
"-78.88","43.92","OSHAWA","6155875","2013-01-06","2013","01","06","","2.6","","-5.3","","-1.4","","19.4","","0.0","","","M","","M","0.6","","","","34","","46",""
"-78.88","43.92","OSHAWA","6155875","2013-01-07","2013","01","07","","1.5","","-10.7","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","22","","56",""
"-78.88","43.92","OSHAWA","6155875","2013-01-08","2013","01","08","","2.4","","-6.9","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","23","","44",""
"-78.88","43.92","OSHAWA","6155875","2013-01-09","2013","01","09","","6.0","","-7.6","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","29","","74",""
"-78.88","43.92","OSHAWA","6155875","2013-01-10","2013","01","10","","5.7","","-2.0","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","29","","37",""
"-78.88","43.92","OSHAWA","6155875","2013-01-11","2013","01","11","","6.5","","2.1","","4.3","","13.7","","0.0","","","M","","M","1.5","","","","11","","46",""
"-78.88","43.92","OSHAWA","6155875","2013-01-12","2013","01","12","","11.1","","4.9","","8.0","","10.0","","0.0","","","M","","M","0.0","","","","22","","35",""
"-78.88","43.92","OSHAWA","6155875","2013-01-13","2013","01","13","","12.1","","4.6","","8.4","","9.6","","0.0","","","M","","M","26.8","","","","12","","46",""
"-78.88","43.92","OSHAWA","6155875","2013-01-14","2013","01","14","","4.6","","-3.8","","0.4","","17.6","","0.0","","","M","","M","1.5","","","","28","","46",""
"-78.88","43.92","OSHAWA","6155875","2013-01-15","2013","01","15","","0.6","","-7.0","","-3.2","","21.2","","0.0","","","M","","M","","M","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2013-01-16","2013","01","16","","2.3","","-4.9","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","35","","54",""
"-78.88","43.92","OSHAWA","6155875","2013-01-17","2013","01","17","","","M","-7.2","E","","M","","M","","M","","M","","M","","M","","","35","","54",""
"-78.88","43.92","OSHAWA","6155875","2013-01-18","2013","01","18","","1.6","","-14.7","","-6.6","","24.6","","0.0","","","M","","M","0.3","","","","21","","54",""
"-78.88","43.92","OSHAWA","6155875","2013-01-19","2013","01","19","","6.9","","1.6","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","22","","48",""
"-78.88","43.92","OSHAWA","6155875","2013-01-20","2013","01","20","","6.9","","-9.8","","-1.5","","19.5","","0.0","","","M","","M","0.5","","","","28","","80",""
"-78.88","43.92","OSHAWA","6155875","2013-01-21","2013","01","21","","-6.1","","-11.7","","-8.9","","26.9","","0.0","","","M","","M","0.0","","","","27","","50",""
"-78.88","43.92","OSHAWA","6155875","2013-01-22","2013","01","22","","-11.7","","-18.3","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","27","","41",""
"-78.88","43.92","OSHAWA","6155875","2013-01-23","2013","01","23","","-10.1","","-20.6","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2013-01-24","2013","01","24","","-12.7","","-17.3","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","33","","48",""
"-78.88","43.92","OSHAWA","6155875","2013-01-25","2013","01","25","","-8.0","","-16.9","","-12.5","","30.5","","0.0","","","M","","M","2.3","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2013-01-26","2013","01","26","","-4.8","","-18.2","","-11.5","","29.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2013-01-27","2013","01","27","","-1.7","","-17.8","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2013-01-28","2013","01","28","","0.9","","-2.2","","-0.7","","18.7","","0.0","","","M","","M","4.9","","","","10","","41",""
"-78.88","43.92","OSHAWA","6155875","2013-01-29","2013","01","29","","5.0","","-2.0","","1.5","","16.5","","0.0","","","M","","M","6.1","","","","10","","41",""
"-78.88","43.92","OSHAWA","6155875","2013-01-30","2013","01","30","","12.3","","4.7","","8.5","","9.5","","0.0","","","M","","M","8.3","","","","19","","37",""
"-78.88","43.92","OSHAWA","6155875","2013-01-31","2013","01","31","","7.5","","-7.9","","-0.2","","18.2","","0.0","","","M","","M","1.3","","","","27","","76",""
